group,function,value,sample_time_nanos,iteration_count
pipeline throughput,passthrough,,29569893,1
pipeline throughput,passthrough,,56730398,2
pipeline throughput,passthrough,,82113631,3
pipeline throughput,passthrough,,108039055,4
pipeline throughput,passthrough,,129880841,5
pipeline throughput,passthrough,,157249475,6
pipeline throughput,passthrough,,181386223,7
pipeline throughput,passthrough,,206545653,8
pipeline throughput,passthrough,,275049895,9
pipeline throughput,passthrough,,332318097,10
pipeline throughput,passthrough,,320436640,11
pipeline throughput,passthrough,,336795606,12
pipeline throughput,passthrough,,420646815,13
pipeline throughput,passthrough,,472770221,14
pipeline throughput,passthrough,,453991705,15
pipeline throughput,passthrough,,459334087,16
pipeline throughput,passthrough,,453448597,17
pipeline throughput,passthrough,,481716548,18
pipeline throughput,passthrough,,516335282,19
pipeline throughput,passthrough,,531648855,20
pipeline throughput,passthrough,,549185750,21
pipeline throughput,passthrough,,576756598,22
pipeline throughput,passthrough,,604349111,23
pipeline throughput,passthrough,,645608806,24
pipeline throughput,passthrough,,726832537,25
pipeline throughput,passthrough,,797680915,26
pipeline throughput,passthrough,,765647616,27
pipeline throughput,passthrough,,813788859,28
pipeline throughput,passthrough,,861019358,29
pipeline throughput,passthrough,,902829567,30
pipeline throughput,passthrough,,861749728,31
pipeline throughput,passthrough,,910568205,32
pipeline throughput,passthrough,,920137096,33
pipeline throughput,passthrough,,906500323,34
pipeline throughput,passthrough,,986923814,35
pipeline throughput,passthrough,,991499934,36
pipeline throughput,passthrough,,1040420540,37
pipeline throughput,passthrough,,1162417615,38
pipeline throughput,passthrough,,1116196983,39
pipeline throughput,passthrough,,1161105947,40
pipeline throughput,passthrough,,1144710042,41
pipeline throughput,passthrough,,1106805466,42
pipeline throughput,passthrough,,1149220950,43
pipeline throughput,passthrough,,1218718093,44
pipeline throughput,passthrough,,1203019674,45
pipeline throughput,passthrough,,1263220756,46
pipeline throughput,passthrough,,1277765516,47
pipeline throughput,passthrough,,1282362509,48
pipeline throughput,passthrough,,1331293996,49
pipeline throughput,passthrough,,1354279737,50
pipeline throughput,passthrough,,1372911367,51
pipeline throughput,passthrough,,1396094763,52
pipeline throughput,passthrough,,1434895602,53
pipeline throughput,passthrough,,1458453716,54
pipeline throughput,passthrough,,1495850382,55
pipeline throughput,passthrough,,1523753142,56
pipeline throughput,passthrough,,1591064521,57
pipeline throughput,passthrough,,1553919058,58
pipeline throughput,passthrough,,1554215901,59
pipeline throughput,passthrough,,1598575842,60
pipeline throughput,passthrough,,1662816924,61
pipeline throughput,passthrough,,1758960094,62
pipeline throughput,passthrough,,1734554135,63
pipeline throughput,passthrough,,1668909791,64
pipeline throughput,passthrough,,1717012549,65
pipeline throughput,passthrough,,1716956741,66
pipeline throughput,passthrough,,1767018523,67
pipeline throughput,passthrough,,1762339193,68
pipeline throughput,passthrough,,1819330697,69
pipeline throughput,passthrough,,1820080242,70
pipeline throughput,passthrough,,1862535319,71
pipeline throughput,passthrough,,1961578837,72
pipeline throughput,passthrough,,1919678849,73
pipeline throughput,passthrough,,1920299520,74
pipeline throughput,passthrough,,1946941705,75
pipeline throughput,passthrough,,1978842143,76
pipeline throughput,passthrough,,2021908014,77
pipeline throughput,passthrough,,2045845320,78
pipeline throughput,passthrough,,2068729193,79
pipeline throughput,passthrough,,2080472758,80
pipeline throughput,passthrough,,2122038620,81
pipeline throughput,passthrough,,2241597235,82
pipeline throughput,passthrough,,2243734073,83
pipeline throughput,passthrough,,2231383210,84
pipeline throughput,passthrough,,2213443710,85
pipeline throughput,passthrough,,2393315087,86
pipeline throughput,passthrough,,2609714331,87
pipeline throughput,passthrough,,2401057171,88
pipeline throughput,passthrough,,2560803970,89
pipeline throughput,passthrough,,2539833723,90
pipeline throughput,passthrough,,2592133789,91
pipeline throughput,passthrough,,2450000736,92
pipeline throughput,passthrough,,2454220646,93
pipeline throughput,passthrough,,2467759398,94
pipeline throughput,passthrough,,2527521021,95
pipeline throughput,passthrough,,2495451314,96
pipeline throughput,passthrough,,2542229795,97
pipeline throughput,passthrough,,2588789870,98
pipeline throughput,passthrough,,2623585666,99
pipeline throughput,passthrough,,2697096225,100
